                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.0002,                 1.1463,                 1.3471,                0.69954,                0.72664,                0.80732,                0.55541,                 1.2424,                 1.5212,                 1.7055,             6.3072e-05,             6.3072e-05,             6.3072e-05
                     33,                 1.0081,                 1.1121,                 1.3267,                0.79161,                0.68142,                0.80914,                0.55807,                 1.2464,                 1.4177,                 1.7392,             6.2171e-05,             6.2171e-05,             6.2171e-05
                     34,                0.96581,                 1.0591,                 1.3145,                0.74191,                0.68493,                0.76955,                0.54475,                 1.2339,                 1.4522,                 1.7325,              6.127e-05,              6.127e-05,              6.127e-05
                     35,                0.95819,                 1.0206,                 1.3209,                0.72017,                0.70068,                0.79507,                0.55579,                  1.242,                 1.5142,                 1.7215,             6.0369e-05,             6.0369e-05,             6.0369e-05
                     36,                0.97487,                 1.0618,                  1.328,                0.73543,                0.73052,                0.78434,                0.55042,                 1.2159,                 1.4129,                 1.7257,             5.9469e-05,             5.9469e-05,             5.9469e-05
                     37,                0.98804,                 1.0322,                 1.3341,                0.77623,                0.67065,                0.79998,                0.54961,                 1.2517,                 1.4566,                 1.7692,             5.8568e-05,             5.8568e-05,             5.8568e-05
                     38,                 0.9279,                 1.0056,                 1.3023,                0.80337,                0.68551,                0.80569,                0.55762,                 1.2602,                 1.2833,                 1.7608,             5.7667e-05,             5.7667e-05,             5.7667e-05
                     39,                 0.9036,                0.93195,                 1.2838,                0.76476,                0.74189,                0.80952,                0.56577,                 1.2214,                 1.3244,                 1.7467,             5.6766e-05,             5.6766e-05,             5.6766e-05
                     40,                0.91057,                0.92314,                 1.2851,                0.81747,                0.67178,                0.81555,                0.56571,                 1.2578,                 1.2888,                  1.791,             5.5865e-05,             5.5865e-05,             5.5865e-05
                     41,                 0.9039,                0.99195,                 1.2939,                0.84986,                0.65242,                0.80394,                0.56275,                 1.2278,                 1.3693,                 1.7193,             5.4964e-05,             5.4964e-05,             5.4964e-05
                     42,                0.89234,                0.91195,                 1.2823,                0.75662,                0.70057,                0.81984,                0.56935,                  1.256,                 1.3948,                 1.7464,             5.4063e-05,             5.4063e-05,             5.4063e-05
                     43,                0.89078,                0.90286,                 1.2693,                 0.7512,                0.71341,                0.80029,                0.56217,                 1.2425,                 1.3266,                  1.774,             5.3162e-05,             5.3162e-05,             5.3162e-05
                     44,                0.89472,                0.91996,                 1.2802,                 0.8219,                0.67009,                0.80512,                0.56381,                 1.2393,                 1.2691,                 1.7634,             5.2261e-05,             5.2261e-05,             5.2261e-05
                     45,                0.89634,                0.91195,                   1.28,                0.74639,                0.68782,                0.78257,                0.54506,                 1.2284,                 1.3303,                 1.7368,              5.136e-05,              5.136e-05,              5.136e-05
                     46,                0.86366,                0.83639,                 1.2471,                0.78143,                0.67234,                0.81078,                0.57073,                 1.2413,                 1.3915,                 1.7683,              5.046e-05,              5.046e-05,              5.046e-05
